SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,CarrierTrackingNumber,CustomerPONumber,RevisionNumber
SO66534,2,25144,529,20200218,20200228,20200225,1,100,8,1,3,99,3,99,,0000,0,1,4923,1,4923,3
SO66535,1,24073,477,20200218,20200228,20200225,1,98,10,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66535,2,24073,473,20200218,20200228,20200225,1,98,10,1,63,5,63,5,,0000,0,23,749,23,749,63
SO66536,1,28473,538,20200218,20200228,20200225,1,98,10,1,21,49,21,49,,0000,0,8,0373,8,0373,21
SO66537,1,24180,529,20200218,20200228,20200225,1,100,8,1,3,99,3,99,,0000,0,1,4923,1,4923,3
SO66537,2,24180,222,20200218,20200228,20200225,1,100,8,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO66538,1,12311,541,20200218,20200228,20200225,1,98,10,1,28,99,28,99,,0000,0,10,8423,10,8423,28
SO66538,2,12311,530,20200218,20200228,20200225,1,98,10,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66538,3,12311,479,20200218,20200228,20200225,1,98,10,1,8,99,8,99,,0000,0,3,3623,3,3623,8
SO66538,4,12311,477,20200218,20200228,20200225,1,98,10,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66538,5,12311,465,20200218,20200228,20200225,1,98,10,1,24,49,24,49,,0000,0,9,1593,9,1593,24
SO66539,1,24722,541,20200218,20200228,20200225,1,100,8,1,28,99,28,99,,0000,0,10,8423,10,8423,28
SO66539,2,24722,530,20200218,20200228,20200225,1,100,8,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66540,1,12946,485,20200218,20200228,20200225,1,100,1,1,21,98,21,98,,0000,0,8,2205,8,2205,21
SO66540,2,12946,217,20200218,20200228,20200225,1,100,1,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO66540,3,12946,465,20200218,20200228,20200225,1,100,1,1,24,49,24,49,,0000,0,9,1593,9,1593,24
SO66541,1,20641,374,20200218,20200228,20200225,1,100,4,1,2443,35,2443,35,,0000,0,1554,9479,1554,9479,2443
SO66541,2,20641,479,20200218,20200228,20200225,1,100,4,1,8,99,8,99,,0000,0,3,3623,3,3623,8
SO66541,3,20641,477,20200218,20200228,20200225,1,100,4,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66542,1,14875,590,20200218,20200228,20200225,2,19,6,1,769,49,769,49,,0000,0,419,7784,419,7784,769
SO66542,2,14875,476,20200218,20200228,20200225,1,19,6,1,69,99,69,99,,0000,0,26,1763,26,1763,69
SO66543,1,13217,361,20200218,20200228,20200225,1,19,6,1,2294,99,2294,99,,0000,0,1251,9813,1251,9813,2294
SO66543,2,13217,485,20200218,20200228,20200225,1,19,6,1,21,98,21,98,,0000,0,8,2205,8,2205,21
SO66543,3,13217,214,20200218,20200228,20200225,1,19,6,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO66544,1,12780,357,20200218,20200228,20200225,1,100,1,1,2319,99,2319,99,,0000,0,1265,6195,1265,6195,2319
SO66544,2,12780,537,20200218,20200228,20200225,1,100,1,1,35,35,,0000,0,13,09,13,09,35,2,8
SO66544,3,12780,528,20200218,20200228,20200225,1,100,1,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66544,4,12780,480,20200218,20200228,20200225,1,100,1,1,2,29,2,29,,0000,0,0,8565,0,8565,2
SO66545,1,16589,564,20200218,20200228,20200225,1,98,10,1,2384,07,2384,07,,0000,0,1481,9379,1481,9379,2384
SO66545,2,16589,217,20200218,20200228,20200225,1,98,10,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO66546,1,29186,584,20200218,20200228,20200225,1,6,9,1,539,99,539,99,,0000,0,343,6496,343,6496,539
SO66546,2,29186,473,20200218,20200228,20200225,1,6,9,1,63,5,63,5,,0000,0,23,749,23,749,63
SO66547,1,12991,353,20200218,20200228,20200225,1,6,9,1,2319,99,2319,99,,0000,0,1265,6195,1265,6195,2319
SO66547,2,12991,214,20200218,20200228,20200225,1,6,9,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO66548,1,21559,378,20200218,20200228,20200225,1,6,9,1,2443,35,2443,35,,0000,0,1554,9479,1554,9479,2443
SO66548,2,21559,479,20200218,20200228,20200225,1,6,9,1,8,99,8,99,,0000,0,3,3623,3,3623,8
SO66548,3,21559,477,20200218,20200228,20200225,1,6,9,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO66549,1,18269,376,20200218,20200228,20200225,1,6,9,1,2443,35,2443,35,,0000,0,1554,9479,1554,9479,2443
SO66549,2,18269,540,20200218,20200228,20200225,1,6,9,1,32,6,32,6,,0000,0,12,1924,12,1924,32
