ProductKey,DateKey,UnitCost,UnitsIn,UnitsOut,UnitsBalance
243,20180907,470.99,0,0,438
243,20180908,471.18,0,0,438
243,20180909,469.35,0,0,438
243,20180910,471.22,0,0,438
243,20180911,472.5,0,0,438
243,20180912,472.31,0,0,438
243,20180913,474.24,0,0,438
243,20180914,476.61,0,0,438
243,20180915,474.42,0,0,438
243,20180916,476.7,0,0,438
243,20180917,477.51,0,0,438
243,20180918,476.79,0,0,438
243,20180919,476.03,0,0,438
243,20180920,478.12,0,0,438
243,20180921,480.42,0,0,438
243,20180922,480.71,0,0,438
243,20180923,479.17,0,0,438
243,20180924,476.97,0,0,438
243,20180925,478.01,0,0,438
243,20180926,478.54,0,0,438
243,20180927,477.82,0,0,438
243,20180928,477.97,0,0,438
243,20180929,479.07,0,0,438
243,20180930,481.32,0,0,438
243,20181001,480.45,0,0,438
243,20181002,479.68,0,0,438
243,20181003,479.35,0,0,438
243,20181004,481.31,0,0,438
243,20181005,481.31,0,0,438
243,20181006,481.7,0,0,438
243,20181007,481.65,0,0,438
243,20181008,480.4,0,0,438
243,20181009,482.56,0,0,438
243,20181010,483.52,0,0,438
243,20181011,481.69,0,0,438
243,20181012,479.81,0,0,438
243,20181013,478.46,0,0,438
243,20181014,478.8,0,0,438
243,20181015,479.47,0,0,438
243,20181016,479.13,0,0,438
243,20181017,480.0,0,438,
243,20181018,480.81,0,0,438
243,20181019,480.86,0,0,438
243,20181020,481.82,0,0,438
243,20181021,480.91,0,0,438
243,20181022,482.4,0,0,438
243,20181023,484.71,0,0,438
243,20181024,485.15,0,0,438
243,20181025,483.06,0,0,438
243,20181026,481.08,0,0,438
243,20181027,479.69,0,0,438
243,20181028,478.01,0,0,438
243,20181029,475.71,0,0,438
243,20181030,477.19,0,0,438
243,20181031,478.19,0,0,438
243,20181101,477.52,0,0,438
243,20181102,476.76,0,0,438
243,20181103,476.57,0,0,438
243,20181104,475.37,0,0,438
243,20181105,477.61,0,0,438
243,20181106,475.7,0,0,438
243,20181107,477.65,0,0,438
243,20181108,477.55,0,0,438
243,20181109,479.46,0,0,438
243,20181110,480.18,0,0,438
243,20181111,481.19,0,0,438
243,20181112,482.83,0,0,438
243,20181113,482.2,0,0,438
243,20181114,479.93,0,0,438
243,20181115,479.55,0,0,438
243,20181116,478.88,0,0,438
243,20181117,480.98,0,0,438
243,20181118,481.66,0,0,438
243,20181119,482.67,0,0,438
243,20181120,481.85,0,0,438
243,20181121,479.73,0,0,438
243,20181122,479.39,0,0,438
243,20181123,478.34,0,0,438
243,20181124,479.49,0,0,438
243,20181125,477.23,0,0,438
243,20181126,475.66,0,0,438
243,20181127,477.51,0,0,438
243,20181128,476.84,0,0,438
243,20181129,477.32,0,0,438
243,20181130,475.94,0,0,438
243,20181201,477.32,0,0,438
243,20181202,476.17,0,0,438
243,20181203,476.17,0,0,438
243,20181204,476.08,0,0,438
243,20181205,477.08,0,0,438
243,20181206,479.03,0,0,438
243,20181207,477.16,0,0,438
243,20181208,479.55,0,0,438
243,20181209,481.56,0,0,438
243,20181210,481.9,0,0,438
243,20181211,483.25,0,0,438
243,20181212,484.22,0,0,438
243,20181213,482.09,0,0,438
243,20181214,483.0,0,438,
243,20181215,480.97,0,0,438
243,20181216,480.06,0,0,438
243,20181217,480.44,0,0,438
243,20181218,478.14,0,0,438
243,20181219,478.52,0,0,438
243,20181220,476.75,0,0,438
243,20181221,478.08,0,0,438
243,20181222,477.56,0,0,438
243,20181223,478.51,0,0,438
243,20181224,476.22,0,0,438
243,20181225,476.26,0,0,438
243,20181226,477.22,0,0,438
243,20181227,479.6,0,0,438
243,20181228,479.89,0,0,438
243,20181229,479.65,0,32,406
243,20181230,478.84,0,0,406
243,20181231,476.92,0,0,406
243,20190101,476.25,0,0,406
243,20190102,475.59,0,0,406
243,20190103,477.11,0,0,406
243,20190104,478.11,0,0,406
243,20190105,478.4,0,0,406
243,20190106,480.26,0,0,406
243,20190107,479.45,0,0,406
243,20190108,480.16,0,0,406
243,20190109,482.57,0,0,406
243,20190110,481.94,0,0,406
243,20190111,482.71,0,0,406
243,20190112,482.08,0,0,406
243,20190113,480.49,0,0,406
243,20190114,478.95,0,0,406
243,20190115,476.85,0,0,406
243,20190116,475.84,0,0,406
243,20190117,476.37,0,0,406
243,20190118,478.08,0,0,406
243,20190119,479.23,0,0,406
243,20190120,477.46,0,0,406
243,20190121,479.08,0,0,406
243,20190122,477.55,0,0,406
243,20190123,475.59,0,0,406
243,20190124,473.4,0,0,406
243,20190125,475.67,0,0,406
243,20190126,477.39,0,0,406
243,20190127,478.29,0,0,406
243,20190128,476.72,0,0,406
243,20190129,478.77,0,46,360
243,20190130,477.38,107,0,467
243,20190131,476.52,0,0,467
243,20190201,474.71,0,0,467
243,20190202,475.75,0,0,467
243,20190203,476.94,0,0,467
243,20190204,476.75,0,0,467
243,20190205,478.13,0,0,467
243,20190206,479.23,0,0,467
243,20190207,478.51,0,0,467
243,20190208,476.17,0,0,467
243,20190209,478.5,0,0,467
243,20190210,479.17,0,0,467
243,20190211,478.5,0,0,467
243,20190212,479.27,0,0,467
243,20190213,479.22,0,0,467
243,20190214,479.94,0,0,467
243,20190215,479.6,0,0,467
243,20190216,480.08,0,0,467
243,20190217,478.54,0,0,467
243,20190218,476.44,0,0,467
243,20190219,476.68,0,0,467
243,20190220,475.1,0,0,467
243,20190221,476.67,0,0,467
243,20190222,474.96,0,0,467
243,20190223,476.81,0,0,467
243,20190224,477.33,0,0,467
243,20190225,479.29,0,0,467
243,20190226,479.29,0,0,467
243,20190227,481.69,0,0,467
243,20190228,480.67,0,0,467
243,20190301,480.63,0,44,423
243,20190302,479.28,0,0,423
243,20190303,478.37,0,0,423
243,20190304,476.12,0,0,423
243,20190305,474.22,0,0,423
243,20190306,476.07,0,0,423
243,20190307,476.78,0,0,423
243,20190308,478.26,0,0,423
243,20190309,479.69,0,0,423
243,20190310,478.01,0,0,423
243,20190311,479.69,0,0,423
243,20190312,479.11,0,0,423
243,20190313,479.06,0,0,423
243,20190314,479.35,0,0,423
243,20190315,480.41,0,0,423
243,20190316,482.38,0,0,423
243,20190317,483.24,0,0,423
243,20190318,485.52,0,0,423
243,20190319,483.28,0,0,423
243,20190320,482.27,0,0,423
243,20190321,480.1,0,0,423
243,20190322,479.28,0,0,423
243,20190323,479.76,0,0,423
243,20190324,479.09,0,0,423
243,20190325,479.76,0,0,423
243,20190326,481.53,0,0,423
243,20190327,481.53,0,0,423
243,20190328,482.35,0,0,423
243,20190329,480.86,0,0,423
243,20190330,483.12,0,0,423
243,20190331,483.02,0,12,411
243,20190401,482.83,0,0,411
243,20190402,483.26,0,0,411
243,20190403,483.36,0,0,411
