SalesOrderNumber;SalesOrderLineNumber;ResellerKey;ProductKey;OrderDateKey;DueDateKey;ShipDateKey;EmployeeKey;PromotionKey;CurrencyKey;SalesTerritoryKey;OrderQuantity;UnitPrice;ExtendedAmount;UnitPriceDiscountPct;DiscountAmount;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmount;FreightAmount;CarrierTrackingNumber;CustomerPONumber;RevisionNumber
SO48369;9;25;236;20181222;20190101;20181229;282;1;100;4;2;28,84;57,68;0;0,00;29,08;58,16;57,68;4,61;1,44;92AB-4468-B5;PO4582138864;1
SO48369;10;25;230;20181222;20190101;20181229;282;1;100;4;5;28,84;144,20;0;0,00;29,08;145,40;144,20;11,54;3,61;92AB-4468-B5;PO4582138864;1
SO48370;1;648;356;20181222;20190101;20181229;287;1;100;4;4;1 242,85;4 971,41;0;0,00;1 117,86;4 471,42;4 971,41;397,71;124,29;2BBA-46FF-BD;PO4640118571;1
SO48370;2;648;364;20181222;20190101;20181229;287;1;100;4;4;647,99;2 591,98;0;0,00;598,44;2 393,74;2 591,98;207,36;64,80;2BBA-46FF-BD;PO4640118571;1
SO48370;3;648;366;20181222;20190101;20181229;287;1;100;4;3;647,99;1 943,98;0;0,00;598,44;1 795,31;1 943,98;155,52;48,60;2BBA-46FF-BD;PO4640118571;1
SO48370;4;648;419;20181222;20190101;20181229;287;1;100;4;1;52,65;52,65;0;0,00;38,96;38,96;52,65;4,21;1,32;2BBA-46FF-BD;PO4640118571;1
SO48370;5;648;308;20181222;20190101;20181229;287;1;100;4;1;744,27;744,27;0;0,00;660,91;660,91;744,27;59,54;18,61;2BBA-46FF-BD;PO4640118571;1
SO48370;6;648;399;20181222;20190101;20181229;287;1;100;4;2;33,77;67,55;0;0,00;24,99;49,99;67,55;5,40;1,69;2BBA-46FF-BD;PO4640118571;1
SO48370;7;648;367;20181222;20190101;20181229;287;1;100;4;6;647,99;3 887,96;0;0,00;598,44;3 590,61;3 887,96;311,04;97,20;2BBA-46FF-BD;PO4640118571;1
SO48370;8;648;354;20181222;20190101;20181229;287;1;100;4;3;1 242,85;3 728,56;0;0,00;1 117,86;3 353,57;3 728,56;298,28;93,21;2BBA-46FF-BD;PO4640118571;1
SO48370;9;648;358;20181222;20190101;20181229;287;1;100;4;1;1 229,46;1 229,46;0;0,00;1 105,81;1 105,81;1 229,46;98,36;30,74;2BBA-46FF-BD;PO4640118571;1
SO48370;10;648;362;20181222;20190101;20181229;287;1;100;4;3;1 229,46;3 688,38;0;0,00;1 105,81;3 317,43;3 688,38;295,07;92,21;2BBA-46FF-BD;PO4640118571;1
SO48370;11;648;409;20181222;20190101;20181229;287;1;100;4;1;209,26;209,26;0;0,00;185,82;185,82;209,26;16,74;5,23;2BBA-46FF-BD;PO4640118571;1
SO48370;12;648;421;20181222;20190101;20181229;287;1;100;4;1;196,33;196,33;0;0,00;145,28;145,28;196,33;15,71;4,91;2BBA-46FF-BD;PO4640118571;1
SO48370;13;648;297;20181222;20190101;20181229;287;1;100;4;2;736,15;1 472,29;0;0,00;653,70;1 307,39;1 472,29;117,78;36,81;2BBA-46FF-BD;PO4640118571;1
SO48370;14;648;365;20181222;20190101;20181229;287;1;100;4;2;647,99;1 295,99;0;0,00;598,44;1 196,87;1 295,99;103,68;32,40;2BBA-46FF-BD;PO4640118571;1
SO48370;15;648;411;20181222;20190101;20181229;287;1;100;4;2;125,42;250,83;0;0,00;92,81;185,61;250,83;20,07;6,27;2BBA-46FF-BD;PO4640118571;1
SO48370;16;648;401;20181222;20190101;20181229;287;1;100;4;3;65,60;196,81;0;0,00;48,55;145,64;196,81;15,74;4,92;2BBA-46FF-BD;PO4640118571;1
SO48370;17;648;468;20181222;20190101;20181229;287;1;100;4;1;22,79;22,79;0;0,00;15,67;15,67;22,79;1,82;0,57;2BBA-46FF-BD;PO4640118571;1
SO48370;18;648;420;20181222;20190101;20181229;287;1;100;4;2;141,62;283,23;0;0,00;104,80;209,59;283,23;22,66;7,08;2BBA-46FF-BD;PO4640118571;1
SO48370;19;648;410;20181222;20190101;20181229;287;1;100;4;2;36,45;72,89;0;0,00;26,97;53,94;72,89;5,83;1,82;2BBA-46FF-BD;PO4640118571;1
SO48370;20;648;352;20181222;20190101;20181229;287;1;100;4;7;1 242,85;8 699,96;0;0,00;1 117,86;7 824,99;8 699,96;696,00;217,50;2BBA-46FF-BD;PO4640118571;1
SO48370;21;648;427;20181222;20190101;20181229;287;1;100;4;3;209,26;627,77;0;0,00;185,82;557,46;627,77;50,22;15,69;2BBA-46FF-BD;PO4640118571;1
SO48371;1;126;333;20181222;20190101;20181229;281;1;100;2;2;469,79;939,59;0;0,00;486,71;973,41;939,59;75,17;23,49;AD41-4927-9B;PO4756123920;1
SO48371;2;126;233;20181222;20190101;20181229;281;1;100;2;2;28,84;57,68;0;0,00;29,08;58,16;57,68;4,61;1,44;AD41-4927-9B;PO4756123920;1
SO48371;3;126;422;20181222;20190101;20181229;281;1;100;2;3;67,54;202,62;0;0,00;49,98;149,94;202,62;16,21;5,07;AD41-4927-9B;PO4756123920;1
SO48371;4;126;323;20181222;20190101;20181229;281;1;100;2;1;469,79;469,79;0;0,00;486,71;486,71;469,79;37,58;11,74;AD41-4927-9B;PO4756123920;1
SO48371;5;126;224;20181222;20190101;20181229;281;1;100;2;4;5,19;20,75;0;0,00;5,23;20,92;20,75;1,66;0,52;AD41-4927-9B;PO4756123920;1
SO48371;6;126;325;20181222;20190101;20181229;281;1;100;2;1;469,79;469,79;0;0,00;486,71;486,71;469,79;37,58;11,74;AD41-4927-9B;PO4756123920;1
SO48371;7;126;343;20181222;20190101;20181229;281;1;100;2;1;469,79;469,79;0;0,00;486,71;486,71;469,79;37,58;11,74;AD41-4927-9B;PO4756123920;1
SO48371;8;126;329;20181222;20190101;20181229;281;1;100;2;3;469,79;1 409,38;0;0,00;486,71;1 460,12;1 409,38;112,75;35,23;AD41-4927-9B;PO4756123920;1
SO48372;1;111;224;20181222;20190101;20181229;283;1;100;3;4;5,19;20,75;0;0,00;5,23;20,92;20,75;1,66;0,52;3513-4F5B-8E;PO4669199540;1
SO48372;2;111;233;20181222;20190101;20181229;283;1;100;3;3;28,84;86,52;0;0,00;29,08;87,24;86,52;6,92;2,16;3513-4F5B-8E;PO4669199540;1
SO48373;1;61;421;20181223;20190102;20181230;282;1;100;4;2;196,33;392,66;0;0,00;145,28;290,57;392,66;31,41;9,82;4C9A-49DD-BA;PO5539129597;1
