DateKey	DayNumberOfWeek	SpanishDayNameOfWeek	FrenchDayNameOfWeek	DayNumberOfMonth	DayNumberOfYear	WeekNumberOfYear	EnglishMonthName	SpanishMonthName	FrenchMonthName	MonthNumberOfYear	CalendarQuarter	CalendarYear	CalendarSemester	FiscalQuarter	FiscalYear	FiscalSemester	Friday	Monday	Saturday	Sunday	Thursday	Tuesday	Wednesday
20170701	7	Sábado	Samedi	1	182	26	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	2017-07-01	null	null	null	null
20170702	1	Domingo	Dimanche	2	183	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	2017-07-02	null	null	null
20170703	2	Lunes	Lundi	3	184	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	2017-07-03	null	null	null	null	null
20170704	3	Martes	Mardi	4	185	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	2017-07-04	null
20170705	4	Miércoles	Mercredi	5	186	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-07-05
20170706	5	Jueves	Jeudi	6	187	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	2017-07-06	null	null
20170707	6	Viernes	Vendredi	7	188	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	2017-07-07	null	null	null	null	null	null
20170708	7	Sábado	Samedi	8	189	27	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	2017-07-08	null	null	null	null
20170709	1	Domingo	Dimanche	9	190	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	2017-07-09	null	null	null
20170710	2	Lunes	Lundi	10	191	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	2017-07-10	null	null	null	null	null
20170711	3	Martes	Mardi	11	192	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	2017-07-11	null
20170712	4	Miércoles	Mercredi	12	193	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-07-12
20170713	5	Jueves	Jeudi	13	194	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	2017-07-13	null	null
20170714	6	Viernes	Vendredi	14	195	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	2017-07-14	null	null	null	null	null	null
20170715	7	Sábado	Samedi	15	196	28	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	2017-07-15	null	null	null	null
20170716	1	Domingo	Dimanche	16	197	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	2017-07-16	null	null	null
20170717	2	Lunes	Lundi	17	198	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	2017-07-17	null	null	null	null	null
20170718	3	Martes	Mardi	18	199	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	2017-07-18	null
20170719	4	Miércoles	Mercredi	19	200	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	null	null	2017-07-19
20170720	5	Jueves	Jeudi	20	201	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	null	2017-07-20	null	null
20170721	6	Viernes	Vendredi	21	202	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	2017-07-21	null	null	null	null	null	null
20170722	7	Sábado	Samedi	22	203	29	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	2017-07-22	null	null	null	null
20170723	1	Domingo	Dimanche	23	204	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	null	null	2017-07-23	null	null	null
20170724	2	Lunes	Lundi	24	205	30	July	Julio	Juillet	7	3	2017	2	1	2018	1	null	2017-07-24	null	null	null	null	null
