FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount
1,20170701,3,1,1,60,22080
2,20170701,3,1,2,60,20200
3,20170701,3,1,2,61,2000
4,20170701,3,1,1,61,2208
5,20170701,3,1,1,62,1546
6,20170701,3,1,2,62,1800
7,20170701,3,1,2,65,380
8,20170701,3,1,1,65,378
9,20170701,3,1,1,66,344
10,20170701,3,1,2,66,380
11,20170701,3,1,2,67,200
12,20170701,3,1,1,67,174
13,20170701,3,1,1,68,132
14,20170701,3,1,2,68,100
15,20170701,3,1,1,69,38
16,20170701,3,1,1,71,54
17,20170701,3,1,2,71,70
18,20170701,3,1,2,73,300
19,20170701,3,1,1,73,250
20,20170701,3,1,1,74,114
21,20170701,3,1,2,74,100
22,20170701,3,1,2,76,280
23,20170701,3,1,1,76,297
24,20170701,3,1,1,77,535
25,20170701,3,1,2,77,480
26,20170701,3,1,2,78,200
27,20170701,3,1,1,78,153
28,20170701,3,1,1,80,586
29,20170701,3,1,2,80,550
30,20170701,3,1,2,81,380
31,20170701,3,1,1,81,363
32,20170701,3,1,1,82,35
33,20170701,3,1,2,82,40
34,20170701,3,1,2,83,100
35,20170701,3,1,1,83,123
36,20170701,3,1,1,84,103
37,20170701,3,1,2,84,100
38,20170701,3,1,2,85,100
39,20170701,3,1,1,85,98
40,20170701,3,1,1,87,540
41,20170701,3,1,2,87,480
42,20170701,3,1,1,89,201
43,20170701,3,1,1,90,309
44,20170701,3,1,1,91,-247
45,20170701,3,1,1,92,412
46,20170701,3,1,1,94,214
47,20170701,3,1,1,96,12
48,20170701,3,2,1,12,23197
49,20170701,3,6,1,52,3059
50,20170701,3,6,2,52,3200
51,20170701,3,6,2,53,2600
52,20170701,3,6,1,53,2294
53,20170701,3,6,1,56,33968
54,20170701,3,6,2,56,27200
55,20170701,3,6,2,57,3800
56,20170701,3,6,1,57,3186
57,20170701,3,6,1,60,16320
58,20170701,3,6,2,60,14300
59,20170701,3,6,2,61,1600
60,20170701,3,6,1,61,1632
61,20170701,3,6,1,62,979
62,20170701,3,6,2,62,1100
63,20170701,3,6,2,63,2400
64,20170701,3,6,1,63,1912
65,20170701,3,6,1,65,220
66,20170701,3,6,2,65,280
67,20170701,3,6,2,66,200
68,20170701,3,6,1,66,200
69,20170701,3,6,1,67,104
70,20170701,3,6,2,67,100
71,20170701,3,6,2,68,100
72,20170701,3,6,1,68,76
73,20170701,3,6,1,69,22
74,20170701,3,6,1,71,32
75,20170701,3,6,2,71,50
76,20170701,3,6,2,72,200
77,20170701,3,6,1,72,153
78,20170701,3,6,1,73,151
79,20170701,3,6,2,73,220
80,20170701,3,6,2,74,100
81,20170701,3,6,1,74,96
82,20170701,3,6,1,76,486
83,20170701,3,6,2,76,750
84,20170701,3,6,2,77,380
85,20170701,3,6,1,77,346
86,20170701,3,6,1,78,113
87,20170701,3,6,2,78,100
88,20170701,3,6,2,80,380
89,20170701,3,6,1,80,449
90,20170701,3,6,1,81,278
91,20170701,3,6,2,81,280
92,20170701,3,6,2,82,30
93,20170701,3,6,1,82,29
94,20170701,3,6,1,83,102
95,20170701,3,6,2,83,90
96,20170701,3,6,2,84,80
97,20170701,3,6,1,84,92
98,20170701,3,6,1,85,82
99,20170701,3,6,2,85,80
100,20170701,3,6,2,87,380
101,20170701,3,6,1,87,360
102,20170701,3,6,1,89,179
103,20170701,3,6,1,90,276
104,20170701,3,6,1,91,-221
105,20170701,3,6,1,92,368
106,20170701,3,6,1,94,3642
107,20170701,3,6,1,96,8
108,20170701,3,6,1,97,98
109,20170701,3,6,1,99,45000
110,20170701,3,6,1,101,76475
111,20170701,3,6,2,101,91800
112,20170701,3,7,1,4,76978
113,20170701,3,7,1,6,124391
114,20170701,3,7,1,7,3556
115,20170701,3,7,1,8,2487
116,20170701,3,7,1,13,19218
117,20170701,3,7,1,14,12687
118,20170701,3,7,1,15,23136
119,20170701,3,7,1,18,13720
120,20170701,3,7,1,19,43720
121,20170701,3,7,1,20,13445
122,20170701,3,7,1,21,59754
123,20170701,3,7,1,22,11887
124,20170701,3,7,1,23,4908
125,20170701,3,7,1,24,23894
126,20170701,3,7,1,28,20246
127,20170701,3,7,1,29,175368
128,20170701,3,7,1,31,55708
129,20170701,3,7,1,32,29228
130,20170701,3,7,1,33,28238
131,20170701,3,7,1,34,9316
132,20170701,3,7,1,35,42697
133,20170701,3,7,1,37,33491
134,20170701,3,7,1,38,36417
135,20170701,3,7,1,39,55708
136,20170701,3,7,1,40,29546
137,20170701,3,7,1,42,350000
138,20170701,3,7,1,43,-830343,5
139,20170701,3,7,1,45,423790,5
140,20170701,3,7,1,46,-25508
141,20170701,3,7,1,60,5520
142,20170701,3,7,2,60,5000
143,20170701,3,7,2,61,480
144,20170701,3,7,1,61,497
145,20170701,3,7,1,62,331
146,20170701,3,7,2,62,380
147,20170701,3,7,2,65,90
148,20170701,3,7,1,65,81
149,20170701,3,7,1,66,74
150,20170701,3,7,2,66,80
151,20170701,3,7,2,67,40
152,20170701,3,7,1,67,38
153,20170701,3,7,1,68,29
154,20170701,3,7,2,68,30
155,20170701,3,7,1,69,8
156,20170701,3,7,1,71,9
157,20170701,3,7,2,71,30
158,20170701,3,7,2,73,80
159,20170701,3,7,1,73,57
160,20170701,3,7,1,74,86
161,20170701,3,7,2,74,100
162,20170701,3,7,2,76,60
163,20170701,3,7,1,76,71
164,20170701,3,7,1,77,128
165,20170701,3,7,2,77,100
166,20170701,3,7,2,78,40
167,20170701,3,7,1,78,39
168,20170701,3,7,1,80,143
169,20170701,3,7,2,80,100
170,20170701,3,7,2,81,90
171,20170701,3,7,1,81,89
172,20170701,3,7,1,82,9
173,20170701,3,7,2,82,10
174,20170701,3,7,2,83,30
175,20170701,3,7,1,83,30
176,20170701,3,7,1,84,25
177,20170701,3,7,2,84,30
178,20170701,3,7,2,85,20
179,20170701,3,7,1,85,24
180,20170701,3,7,1,87,135
181,20170701,3,7,2,87,100
182,20170701,3,7,1,89,48
183,20170701,3,7,1,90,73
184,20170701,3,7,1,91,-58
185,20170701,3,7,1,92,98
186,20170701,3,7,1,94,52
187,20170701,3,7,1,96,3
188,20170701,3,7,1,100,23076
189,20170701,4,1,1,60,43120
190,20170701,4,1,2,60,40900
191,20170701,4,1,2,61,4000
192,20170701,4,1,1,61,5174
193,20170701,4,1,1,62,3449
194,20170701,4,1,2,62,3600
195,20170701,4,1,2,65,850
196,20170701,4,1,1,65,770
197,20170701,4,1,1,66,700
198,20170701,4,1,2,66,750
199,20170701,4,1,2,67,380
200,20170701,4,1,1,67,352
201,20170701,4,1,1,68,264
202,20170701,4,1,2,68,280
203,20170701,4,1,1,69,77
204,20170701,4,1,1,71,99
205,20170701,4,1,2,71,110
206,20170701,4,1,2,73,500
207,20170701,4,1,1,73,486
208,20170701,4,1,1,74,240
209,20170701,4,1,2,74,280
210,20170701,4,1,2,76,550
211,20170701,4,1,1,76,561
212,20170701,4,1,1,77,1009
213,20170701,4,1,2,77,950
214,20170701,4,1,2,78,280
215,20170701,4,1,1,78,277
216,20170701,4,1,1,80,1051
217,20170701,4,1,2,80,1000
218,20170701,4,1,2,81,650
219,20170701,4,1,1,81,650
220,20170701,4,1,1,82,62
221,20170701,4,1,2,82,70
222,20170701,4,1,2,83,200
223,20170701,4,1,1,83,217
224,20170701,4,1,1,84,180
225,20170701,4,1,2,84,200
226,20170701,4,1,2,85,200
227,20170701,4,1,1,85,174
228,20170701,4,1,1,87,990
229,20170701,4,1,2,87,850
230,20170701,4,1,1,89,176
231,20170701,4,1,1,90,270
232,20170701,4,1,1,91,-216
233,20170701,4,1,1,92,360
234,20170701,4,1,1,94,96
235,20170701,4,1,1,96,11
236,20170701,4,2,1,12,34545
237,20170701,4,6,1,52,4505
238,20170701,4,6,2,52,3900
239,20170701,4,6,2,53,-1600
240,20170701,4,6,1,53,-1126
241,20170701,4,6,1,56,42417
242,20170701,4,6,2,56,55000
243,20170701,4,6,2,57,1500
244,20170701,4,6,1,57,938
245,20170701,4,6,1,60,26040
246,20170701,4,6,2,60,22700
247,20170701,4,6,2,61,2000
248,20170701,4,6,1,61,2083
249,20170701,4,6,1,62,1562
250,20170701,4,6,2,62,1600
251,20170701,4,6,2,63,6200
252,20170701,4,6,1,63,3379
253,20170701,4,6,1,65,378
254,20170701,4,6,2,65,380
255,20170701,4,6,2,66,380
256,20170701,4,6,1,66,343
257,20170701,4,6,1,67,182
258,20170701,4,6,2,67,200
259,20170701,4,6,2,68,100
260,20170701,4,6,1,68,133
261,20170701,4,6,1,69,38
262,20170701,4,6,1,71,63
263,20170701,4,6,2,71,70
264,20170701,4,6,2,72,380
265,20170701,4,6,1,72,225
266,20170701,4,6,1,73,263
267,20170701,4,6,2,73,300
268,20170701,4,6,2,74,200
269,20170701,4,6,1,74,187
270,20170701,4,6,1,76,1201
271,20170701,4,6,2,76,1500
272,20170701,4,6,2,77,550
273,20170701,4,6,1,77,604
274,20170701,4,6,1,78,193
275,20170701,4,6,2,78,200
276,20170701,4,6,2,80,650
277,20170701,4,6,1,80,749
278,20170701,4,6,1,81,464
279,20170701,4,6,2,81,380
280,20170701,4,6,2,82,50
281,20170701,4,6,1,82,47
282,20170701,4,6,1,83,165
283,20170701,4,6,2,83,100
284,20170701,4,6,2,84,100
285,20170701,4,6,1,84,145
286,20170701,4,6,1,85,132
287,20170701,4,6,2,85,100
288,20170701,4,6,2,87,550
289,20170701,4,6,1,87,630
290,20170701,4,6,1,89,142
291,20170701,4,6,1,90,218
292,20170701,4,6,1,91,-174
293,20170701,4,6,1,92,291
294,20170701,4,6,1,94,3303
295,20170701,4,6,1,96,7
296,20170701,4,6,1,97,95
297,20170701,4,6,1,99,63000
298,20170701,4,6,2,101,123900
299,20170701,4,6,1,101,112648
300,20170701,4,7,1,4,138120
301,20170701,4,7,1,6,172658
302,20170701,4,7,1,7,5181
303,20170701,4,7,1,8,3453
304,20170701,4,7,1,13,23826
305,20170701,4,7,1,14,16229
306,20170701,4,7,1,15,31769
307,20170701,4,7,1,18,10976
